participant,action,verb,noun
P02,take(butter),take,butter
P02,take(cake),take,cake
P02,take(can),take,can
P02,take(cheese),take,cheese
P02,take(clip),take,clip
P02,take(clothes),take,clothes
P02,take(colander),take,colander
P02,take(container),take,container
P02,take(corn),take,corn
P02,take(cover),take,cover
P02,take(crisp),take,crisp
P02,take(cumin),take,cumin
P02,take(cup),take,cup
P02,take(cupboard),take,cupboard
P02,take(cutlery),take,cutlery
P02,take(drawer),take,drawer
P02,take(egg),take,egg
P02,take(face),take,face
P02,take(flour),take,flour
P02,take(foil),take,foil
P02,take(food),take,food
P02,take(fork),take,fork
P02,take(garlic),take,garlic
P02,take(ginger),take,ginger
P02,take(glass),take,glass
P02,take(glove),take,glove
P02,take(grater),take,grater
P02,take(guard:hand),take,guard:hand
P02,take(hand),take,hand
P02,take(handle),take,handle
P02,take(holder),take,holder
P02,take(jar),take,jar
P02,take(jug),take,jug
P02,take(juice),take,juice
P02,take(juicer),take,juicer
P02,take(key),take,key
P02,take(kitchen),take,kitchen
P02,take(knife),take,knife
P02,take(label),take,label
P02,take(leaf),take,leaf
P02,take(lemon),take,lemon
P02,take(lid),take,lid
P02,take(liquid),take,liquid
P02,take(liquid:washing),take,liquid:washing
P02,take(milk),take,milk
P02,take(mixture),take,mixture
P02,take(mushroom),take,mushroom
P02,take(oil),take,oil
P02,take(onion),take,onion
P02,take(oven),take,oven
P02,take(package),take,package
P02,take(pan),take,pan
P02,take(paper),take,paper
P02,take(paprika),take,paprika
P02,take(pasta),take,pasta
P02,take(pen),take,pen
P02,take(pepper),take,pepper
P02,take(phone),take,phone
P02,take(pie),take,pie
P02,take(pin:rolling),take,pin:rolling
P02,take(pineapple),take,pineapple
P02,take(plate),take,plate
P02,take(plug),take,plug
P02,take(potato),take,potato
P02,take(quorn),take,quorn
P02,take(raspberry),take,raspberry
P02,take(recipe),take,recipe
P02,take(ring:onion),take,ring:onion
P02,take(roll),take,roll
P02,take(rubber),take,rubber
P02,take(rubbish),take,rubbish
P02,take(salt),take,salt
P02,take(sauce),take,sauce
P02,take(scale),take,scale
P02,take(scissors),take,scissors
P02,take(seed),take,seed
P02,take(sheets),take,sheets
P02,take(sink),take,sink
P02,take(skin),take,skin
P02,take(spatula),take,spatula
P02,take(spice),take,spice
P02,take(sponge),take,sponge
P02,take(spoon),take,spoon
P02,take(spreads),take,spreads
P02,take(stalk),take,stalk
P02,take(straw),take,straw
P02,take(tap),take,tap
P02,take(tea),take,tea
P02,take(tomato),take,tomato
P02,take(tongs),take,tongs
P02,take(top),take,top
P02,take(towel),take,towel
P02,take(tray),take,tray
P02,take(turmeric),take,turmeric
P02,take(vinegar),take,vinegar
P02,take(water),take,water
P02,take(window),take,window
P02,take(wire),take,wire
P02,take(wrap),take,wrap
P02,take(wrap:plastic),take,wrap:plastic
P02,take(yoghurt),take,yoghurt
P02,throw(foil),throw,foil
P02,throw(food),throw,food
P02,throw(garlic),throw,garlic
P02,throw(juice),throw,juice
P02,throw(kitchen),throw,kitchen
P02,throw(lemon),throw,lemon
P02,throw(mushroom),throw,mushroom
P02,throw(onion),throw,onion
P02,throw(package),throw,package
P02,throw(pie),throw,pie
P02,throw(potato),throw,potato
P02,throw(scissors),throw,scissors
P02,throw(shell:egg),throw,shell:egg
P02,throw(towel),throw,towel
P02,throw(wrap:plastic),throw,wrap:plastic
P02,turn(bag),turn,bag
P02,turn(bar),turn,bar
P02,turn(board:chopping),turn,board:chopping
P02,turn(bowl),turn,bowl
P02,turn(box),turn,box
P02,turn(bread),turn,bread
P02,turn(butter),turn,butter
P02,turn(can),turn,can
P02,turn(cheese),turn,cheese
P02,turn(clip),turn,clip
P02,turn(food),turn,food
P02,turn(garlic),turn,garlic
P02,turn(grater),turn,grater
P02,turn(guard:hand),turn,guard:hand
P02,turn(hob),turn,hob
P02,turn(jar),turn,jar
P02,turn(jug),turn,jug
P02,turn(key),turn,key
P02,turn(knife),turn,knife
P02,turn(lemon),turn,lemon
P02,turn(mushroom),turn,mushroom
P02,turn(onion),turn,onion
P02,turn(oven),turn,oven
P02,turn(package),turn,package
P02,turn(pan),turn,pan
P02,turn(pie),turn,pie
P02,turn(plate),turn,plate
P02,turn(potato),turn,potato
P02,turn(rack:drying),turn,rack:drying
P02,turn(raspberry),turn,raspberry
P02,turn(shell:egg),turn,shell:egg
P02,turn(sink),turn,sink
P02,turn(tap),turn,tap
P02,turn(tomato),turn,tomato
P02,turn(top),turn,top
P02,turn(tray),turn,tray
P02,turn-down(alarm),turn-down,alarm
P02,turn-down(heat),turn-down,heat
P02,turn-down(hob),turn-down,hob
P02,turn-down(tap),turn-down,tap
P02,turn-down(water),turn-down,water
P02,turn-off(alarm),turn-off,alarm
P02,turn-off(button),turn-off,button
P02,turn-off(egg),turn-off,egg
P02,turn-off(hob),turn-off,hob
P02,turn-off(light),turn-off,light
P02,turn-off(liquid:washing),turn-off,liquid:washing
P02,turn-off(oven),turn-off,oven
P02,turn-off(power),turn-off,power
P02,turn-off(tap),turn-off,tap
P02,turn-off(water),turn-off,water
P02,turn-on(alarm),turn-on,alarm
P02,turn-on(book),turn-on,book
P02,turn-on(bowl),turn-on,bowl
P02,turn-on(box),turn-on,box
P02,turn-on(bread),turn-on,bread
P02,turn-on(brush),turn-on,brush
P02,turn-on(button),turn-on,button
P02,turn-on(drawer),turn-on,drawer
P02,turn-on(flour),turn-on,flour
P02,turn-on(food),turn-on,food
P02,turn-on(grater),turn-on,grater
P02,turn-on(hand),turn-on,hand
P02,turn-on(hob),turn-on,hob
P02,turn-on(label),turn-on,label
P02,turn-on(lemon),turn-on,lemon
P02,turn-on(light),turn-on,light
P02,turn-on(liquid:washing),turn-on,liquid:washing
P02,turn-on(microwave),turn-on,microwave
P02,turn-on(mushroom),turn-on,mushroom
P02,turn-on(oven),turn-on,oven
P02,turn-on(package),turn-on,package
P02,turn-on(pen),turn-on,pen
P02,turn-on(plug),turn-on,plug
P02,turn-on(shell:egg),turn-on,shell:egg
P02,turn-on(tap),turn-on,tap
P02,turn-on(tomato),turn-on,tomato
P02,turn-on(tray),turn-on,tray
P02,turn-on(water),turn-on,water
P02,unlock(cupboard),unlock,cupboard
P02,unlock(phone),unlock,phone
P02,unlock(tongs),unlock,tongs
P02,unlock(wall),unlock,wall
P02,unroll(bag),unroll,bag
P02,unroll(cupboard),unroll,cupboard
P02,unroll(foil),unroll,foil
P02,unroll(kitchen),unroll,kitchen
P02,unroll(label),unroll,label
P02,unroll(mushroom),unroll,mushroom
P02,unroll(pepper),unroll,pepper
P02,unroll(pie),unroll,pie
P02,unroll(roll),unroll,roll
P02,unroll(towel),unroll,towel
P02,unscrew(bottle),unscrew,bottle
P02,unscrew(cap),unscrew,cap
P02,unscrew(lid),unscrew,lid
P02,unscrew(oil),unscrew,oil
P02,unwrap(bag),unwrap,bag
P02,unwrap(lid),unwrap,lid
P02,unwrap(potato),unwrap,potato
P02,wait(rest),wait,rest
P02,wash(biscuit),wash,biscuit
P02,wash(blender),wash,blender
P02,wash(board:chopping),wash,board:chopping
P02,wash(bowl),wash,bowl
P02,wash(box),wash,box
P02,wash(brush),wash,brush
P02,wash(cheese),wash,cheese
P02,wash(cup),wash,cup
P02,wash(cupboard),wash,cupboard
P02,wash(egg),wash,egg
P02,wash(floor),wash,floor
P02,wash(flour),wash,flour
P02,wash(food),wash,food
P02,wash(fork),wash,fork
P02,wash(fridge),wash,fridge
P02,wash(glass),wash,glass
P02,wash(grater),wash,grater
P02,wash(guard:hand),wash,guard:hand
P02,wash(hand),wash,hand
P02,wash(hob),wash,hob
P02,wash(jar),wash,jar
P02,wash(jug),wash,jug
P02,wash(juicer),wash,juicer
P02,wash(kitchen),wash,kitchen
P02,wash(knife),wash,knife
P02,wash(lid),wash,lid
P02,wash(liquid),wash,liquid
P02,wash(mat),wash,mat
P02,wash(mushroom),wash,mushroom
P02,wash(onion),wash,onion
P02,wash(oven),wash,oven
P02,wash(pan),wash,pan
P02,wash(plate),wash,plate
P02,wash(potato),wash,potato
P02,wash(raspberry),wash,raspberry
P02,wash(rubbish),wash,rubbish
P02,wash(scissors),wash,scissors
P02,wash(shell:egg),wash,shell:egg
P02,wash(sink),wash,sink
P02,wash(spatula),wash,spatula
P02,wash(sponge),wash,sponge
P02,wash(spoon),wash,spoon
P02,wash(tap),wash,tap
P02,wash(toaster),wash,toaster
P02,wash(tomato),wash,tomato
P02,wash(top),wash,top
P02,wash(tray),wash,tray
P02,wash(wall),wash,wall
P02,water(hand),water,hand
P02,water(kitchen),water,kitchen
P02,water(knife),water,knife
P02,water(oil),water,oil
P02,water(sponge),water,sponge
P02,wrap(clothes),wrap,clothes
P02,wrap(hand),wrap,hand
P02,wrap(jar),wrap,jar
P02,wrap(lid),wrap,lid
P02,wrap(package),wrap,package
P03,adjust(bag),adjust,bag
P03,adjust(clothes),adjust,clothes
P03,adjust(colander),adjust,colander
P03,adjust(control:remote),adjust,control:remote
P03,adjust(heat),adjust,heat
P03,adjust(hob),adjust,hob
P03,adjust(knife),adjust,knife
P03,adjust(machine:washing),adjust,machine:washing
P03,adjust(mat),adjust,mat
P03,adjust(oven),adjust,oven
P03,adjust(pan),adjust,pan
P03,adjust(plate),adjust,plate
P03,adjust(tap),adjust,tap
P03,adjust(tv),adjust,tv
P03,adjust(water),adjust,water
P03,apply(flour),apply,flour
P03,apply(hand),apply,hand
P03,apply(sauce),apply,sauce
P03,apply(spreads),apply,spreads
P03,apply(tomato),apply,tomato
P03,attach(clip),attach,clip
P03,attach(hoover),attach,hoover
P03,attach(kettle),attach,kettle
P03,attach(lid),attach,lid
P03,attach(package),attach,package
P03,attach(plug),attach,plug
P03,attach(toaster),attach,toaster
P03,break(lid),break,lid
P03,brush(bowl),brush,bowl
P03,brush(cutlery),brush,cutlery
P03,brush(hand),brush,hand
P03,brush(knife),brush,knife
P03,brush(plate),brush,plate
P03,brush(rubbish),brush,rubbish
P03,brush(tray),brush,tray
P03,carry(squash),carry,squash
P03,carry(vegetable),carry,vegetable
P03,check(alarm),check,alarm
P03,check(bag),check,bag
P03,check(bin),check,bin
P03,check(clothes),check,clothes
P03,check(knife),check,knife
P03,check(plug),check,plug
P03,check(rack:drying),check,rack:drying
P03,check(water),check,water
P03,choose(dishwasher),choose,dishwasher
P03,close(bag),close,bag
P03,close(bin),close,bin
P03,close(bottle),close,bottle
P03,close(box),close,box
P03,close(can),close,can
P03,close(clothes),close,clothes
P03,close(container),close,container
P03,close(cupboard),close,cupboard
P03,close(dishwasher),close,dishwasher
P03,close(drawer),close,drawer
P03,close(freezer),close,freezer
P03,close(fridge),close,fridge
P03,close(hob),close,hob
P03,close(kettle),close,kettle
P03,close(lid),close,lid
P03,close(oven),close,oven
P03,close(package),close,package
P03,close(rack:drying),close,rack:drying
P03,close(roll),close,roll
P03,close(tap),close,tap
P03,close(top),close,top
P03,close(tray),close,tray
P03,coat(dishwasher),coat,dishwasher
P03,coat(hand),coat,hand
P03,cook(glass),cook,glass
P03,crush(pepper),crush,pepper
P03,crush(potato),crush,potato
P03,crush(spoon),crush,spoon
P03,cut(aubergine),cut,aubergine
P03,cut(bread),cut,bread
P03,cut(burger),cut,burger
P03,cut(butter),cut,butter
P03,cut(egg),cut,egg
P03,cut(garlic),cut,garlic
P03,cut(leaf),cut,leaf
P03,cut(mushroom),cut,mushroom
P03,cut(omelette),cut,omelette
P03,cut(onion),cut,onion
P03,cut(opener:bottle),cut,opener:bottle
P03,cut(potato),cut,potato
P03,cut(sink),cut,sink
P03,cut(spatula),cut,spatula
P03,cut(squash),cut,squash
P03,cut(top),cut,top
P03,cut(wrap:plastic),cut,wrap:plastic
P03,divide(bowl),divide,bowl
P03,divide(cap),divide,cap
P03,divide(cheese),divide,cheese
P03,divide(cloth),divide,cloth
P03,divide(dough),divide,dough
P03,divide(egg),divide,egg
P03,divide(garlic),divide,garlic
P03,divide(omelette),divide,omelette
P03,divide(onion),divide,onion
P03,divide(package),divide,package
P03,divide(potato),divide,potato
P03,divide(squash),divide,squash
P03,drink(coffee),drink,coffee
P03,drink(water),drink,water
P03,drop(aubergine),drop,aubergine
P03,drop(bag),drop,bag
P03,drop(bean),drop,bean
P03,drop(butter),drop,butter
P03,drop(cake),drop,cake
P03,drop(chopstick),drop,chopstick
P03,drop(cloth),drop,cloth
P03,drop(clothes),drop,clothes
P03,drop(coffee),drop,coffee
P03,drop(cup),drop,cup
P03,drop(cutlery),drop,cutlery
P03,drop(dishwasher),drop,dishwasher
P03,drop(food),drop,food
P03,drop(garlic),drop,garlic
P03,drop(grape),drop,grape
P03,drop(lemon),drop,lemon
P03,drop(mixture),drop,mixture
P03,drop(mushroom),drop,mushroom
P03,drop(onion),drop,onion
P03,drop(package),drop,package
P03,drop(potato),drop,potato
P03,drop(roll),drop,roll
P03,drop(seed),drop,seed
P03,drop(shell:egg),drop,shell:egg
P03,drop(skin),drop,skin
P03,drop(spatula),drop,spatula
P03,drop(sponge),drop,sponge
P03,drop(spoon),drop,spoon
P03,drop(squash),drop,squash
P03,drop(tea),drop,tea
P03,drop(vegetable),drop,vegetable
P03,drop(water),drop,water
P03,dry(bowl),dry,bowl
P03,dry(box),dry,box
P03,dry(colander),dry,colander
P03,dry(container),dry,container
P03,dry(cup),dry,cup
P03,dry(hand),dry,hand
P03,dry(jug),dry,jug
P03,dry(knife),dry,knife
P03,dry(lid),dry,lid
P03,dry(package),dry,package
P03,dry(pan),dry,pan
P03,dry(plate),dry,plate
P03,dry(scissors),dry,scissors
P03,dry(spoon),dry,spoon
P03,dry(tap),dry,tap
P03,dry(top),dry,top
P03,dry(tray),dry,tray
P03,eat(blueberry),eat,blueberry
P03,empty(bowl),empty,bowl
P03,empty(cup),empty,cup
P03,empty(filter),empty,filter
P03,empty(jug),empty,jug
P03,empty(pan),empty,pan
P03,empty(pot),empty,pot
P03,empty(tray),empty,tray
P03,feel(box),feel,box
P03,feel(container),feel,container
P03,feel(cup),feel,cup
P03,feel(hoover),feel,hoover
P03,feel(paper),feel,paper
P03,feel(rack:drying),feel,rack:drying
P03,feel(tap),feel,tap
P03,feel(top),feel,top
P03,feel(wrap),feel,wrap
P03,fill(cup),fill,cup
P03,fill(glass),fill,glass
P03,fill(kettle),fill,kettle
P03,fill(package),fill,package
P03,fill(pan),fill,pan
P03,fill(water),fill,water
P03,filter(bowl),filter,bowl
P03,filter(lentil),filter,lentil
P03,filter(package),filter,package
P03,filter(pan),filter,pan
P03,filter(water),filter,water
P03,finish(oven),finish,oven
P03,finish(rubbish),finish,rubbish
P03,flatten(box),flatten,box
P03,flatten(package),flatten,package
P03,flip(bottle),flip,bottle
P03,flip(box),flip,box
P03,flip(cloth),flip,cloth
P03,flip(colander),flip,colander
P03,flip(cup),flip,cup
P03,flip(dough),flip,dough
P03,flip(filter),flip,filter
P03,flip(hand),flip,hand
P03,flip(knife),flip,knife
P03,flip(omelette),flip,omelette
P03,flip(package),flip,package
P03,flip(pan),flip,pan
P03,flip(paper),flip,paper
P03,flip(plate),flip,plate
P03,flip(spatula),flip,spatula
P03,flip(spoon),flip,spoon
P03,flip(squash),flip,squash
P03,flip(top),flip,top
P03,fold(apron),fold,apron
P03,fold(aubergine),fold,aubergine
P03,fold(bag),fold,bag
P03,fold(cloth),fold,cloth
P03,fold(clothes),fold,clothes
P03,fold(dough),fold,dough
P03,fold(kitchen),fold,kitchen
P03,fold(label),fold,label
P03,fold(package),fold,package
P03,fold(tea),fold,tea
P03,fold(top),fold,top
P03,fold(towel),fold,towel
P03,form(dough),form,dough
P03,gather(breadcrumb),gather,breadcrumb
P03,gather(coffee),gather,coffee
P03,gather(flour),gather,flour
P03,gather(food),gather,food
P03,gather(kale),gather,kale
P03,gather(lentil),gather,lentil
P03,gather(onion),gather,onion
P03,gather(peeler:potato),gather,peeler:potato
P03,gather(potato),gather,potato
P03,gather(rubbish),gather,rubbish
P03,gather(skin),gather,skin
P03,gather(vegetable),gather,vegetable
P03,hang(apron),hang,apron
P03,hang(cloth),hang,cloth
P03,hang(clothes),hang,clothes
P03,hang(hand),hang,hand
P03,hang(oven),hang,oven
P03,hold(bowl),hold,bowl
P03,hold(cloth),hold,cloth
P03,hold(colander),hold,colander
P03,hold(food),hold,food
P03,hold(hand),hold,hand
P03,hold(hoover),hold,hoover
P03,hold(jug),hold,jug
P03,hold(knife),hold,knife
P03,hold(package),hold,package
P03,hold(pan),hold,pan
P03,hold(potato),hold,potato
P03,hold(tray),hold,tray
P03,hold(water),hold,water
P03,increase(fan:extractor),increase,fan:extractor
P03,increase(heat),increase,heat
P03,increase(hob),increase,hob
P03,insert(bag),insert,bag
P03,insert(board:chopping),insert,board:chopping
P03,insert(bottle),insert,bottle
P03,insert(box),insert,box
P03,insert(bread),insert,bread
P03,insert(colander),insert,colander
P03,insert(container),insert,container
P03,insert(filter),insert,filter
P03,insert(knife),insert,knife
P03,insert(lid),insert,lid
P03,insert(maker:coffee),insert,maker:coffee
P03,insert(package),insert,package
P03,insert(pin:rolling),insert,pin:rolling
P03,insert(plate),insert,plate
P03,insert(wrap),insert,wrap
P03,knead(dough),knead,dough
P03,let-go(hand),let-go,hand
P03,lift(aubergine),lift,aubergine
P03,lift(bag),lift,bag
P03,lift(bin),lift,bin
P03,lift(board:chopping),lift,board:chopping
P03,lift(bottle),lift,bottle
P03,lift(bowl),lift,bowl
P03,lift(box),lift,box
P03,lift(can),lift,can
P03,lift(cloth),lift,cloth
P03,lift(clothes),lift,clothes
P03,lift(coffee),lift,coffee
P03,lift(colander),lift,colander
P03,lift(container),lift,container
P03,lift(cup),lift,cup
P03,lift(cupboard),lift,cupboard
P03,lift(dishwasher),lift,dishwasher
P03,lift(dough),lift,dough
P03,lift(filter),lift,filter
P03,lift(food),lift,food
P03,lift(fork),lift,fork
P03,lift(garlic),lift,garlic
P03,lift(hand),lift,hand
P03,lift(handle),lift,handle
P03,lift(hoover),lift,hoover
P03,lift(jug),lift,jug
P03,lift(kettle),lift,kettle
P03,lift(kitchen),lift,kitchen
P03,lift(knife),lift,knife
P03,lift(ladle),lift,ladle
P03,lift(lid),lift,lid
P03,lift(liquid:washing),lift,liquid:washing
P03,lift(maker:coffee),lift,maker:coffee
P03,lift(oven),lift,oven
P03,lift(package),lift,package
P03,lift(pan),lift,pan
P03,lift(phone),lift,phone
P03,lift(plate),lift,plate
P03,lift(pot),lift,pot
P03,lift(rack:drying),lift,rack:drying
P03,lift(recipe),lift,recipe
P03,lift(shelf),lift,shelf
P03,lift(spatula),lift,spatula
P03,lift(spoon),lift,spoon
P03,lift(tea),lift,tea
P03,lift(teapot),lift,teapot
P03,lift(top),lift,top
P03,lift(towel),lift,towel
P03,lift(tray),lift,tray
P03,look(label),look,label
P03,look(paper),look,paper
P03,look(tv),look,tv
P03,lower(bag),lower,bag
P03,lower(board:chopping),lower,board:chopping
P03,lower(box),lower,box
P03,lower(colander),lower,colander
P03,lower(hand),lower,hand
P03,lower(maker:coffee),lower,maker:coffee
P03,lower(mushroom),lower,mushroom
P03,lower(package),lower,package
P03,lower(plate),lower,plate
P03,lower(spatula),lower,spatula
P03,mix(aubergine),mix,aubergine
P03,mix(blueberry),mix,blueberry
P03,mix(burger),mix,burger
P03,mix(dough),mix,dough
P03,mix(dumpling),mix,dumpling
P03,mix(egg),mix,egg
P03,mix(food),mix,food
P03,mix(garlic),mix,garlic
P03,mix(kale),mix,kale
P03,mix(mixture),mix,mixture
P03,mix(mushroom),mix,mushroom
P03,mix(onion),mix,onion
P03,mix(package),mix,package
P03,mix(pan),mix,pan
P03,mix(potato),mix,potato
P03,mix(squash),mix,squash
P03,mix(tomato),mix,tomato
P03,move(aubergine),move,aubergine
P03,move(bag),move,bag
P03,move(bin),move,bin
P03,move(board:chopping),move,board:chopping
P03,move(bottle),move,bottle
P03,move(bowl),move,bowl
P03,move(box),move,box
P03,move(bread),move,bread
P03,move(breadcrumb),move,breadcrumb
P03,move(broccoli),move,broccoli
P03,move(burger),move,burger
P03,move(button),move,button
P03,move(can),move,can
P03,move(chair),move,chair
P03,move(cloth),move,cloth
P03,move(clothes),move,clothes
P03,move(colander),move,colander
P03,move(container),move,container
P03,move(cup),move,cup
P03,move(cupboard),move,cupboard
P03,move(cutlery),move,cutlery
P03,move(dough),move,dough
P03,move(face),move,face
P03,move(filter),move,filter
P03,move(finger:lady),move,finger:lady
P03,move(food),move,food
P03,move(garlic),move,garlic
P03,move(glass),move,glass
P03,move(hand),move,hand
P03,move(jug),move,jug
P03,move(kettle),move,kettle
P03,move(kiwi),move,kiwi
P03,move(knife),move,knife
P03,move(knob),move,knob
P03,move(ladle),move,ladle
P03,move(lid),move,lid
P03,move(maker:coffee),move,maker:coffee
P03,move(milk),move,milk
P03,move(mushroom),move,mushroom
P03,move(napkin),move,napkin
P03,move(omelette),move,omelette
P03,move(onion),move,onion
P03,move(oven),move,oven
P03,move(package),move,package
P03,move(pan),move,pan
P03,move(paper),move,paper
P03,move(peeler:potato),move,peeler:potato
P03,move(pizza),move,pizza
P03,move(plate),move,plate
P03,move(plug),move,plug
P03,move(pot),move,pot
P03,move(potato),move,potato
P03,move(recipe),move,recipe
P03,move(rubber),move,rubber
P03,move(scale),move,scale
P03,move(sink),move,sink
P03,move(sponge),move,sponge
P03,move(spoon),move,spoon
P03,move(squash),move,squash
P03,move(top),move,top
P03,move(tray),move,tray
P03,move(wrap:plastic),move,wrap:plastic
P03,open(bag),open,bag
P03,open(bin),open,bin
P03,open(bottle),open,bottle
P03,open(box),open,box
P03,open(can),open,can
P03,open(clothes),open,clothes
P03,open(container),open,container
P03,open(cupboard),open,cupboard
P03,open(dishwasher),open,dishwasher
P03,open(drawer),open,drawer
P03,open(freezer),open,freezer
P03,open(fridge),open,fridge
P03,open(jar),open,jar
P03,open(kettle),open,kettle
P03,open(lid),open,lid
P03,open(microwave),open,microwave
P03,open(oven),open,oven
P03,open(package),open,package
P03,open(pot),open,pot
P03,open(rack:drying),open,rack:drying
P03,open(roll),open,roll
P03,open(scissors),open,scissors
P03,open(tap),open,tap
P03,open(teapot),open,teapot
P03,open(tray),open,tray
P03,pat(bag),pat,bag
P03,pat(box),pat,box
P03,pat(cap),pat,cap
P03,pat(clip),pat,clip
P03,pat(colander),pat,colander
P03,pat(dishwasher),pat,dishwasher
P03,pat(egg),pat,egg
P03,pat(food),pat,food
P03,pat(hand),pat,hand
P03,pat(knife),pat,knife
P03,pat(ladle),pat,ladle
P03,pat(omelette),pat,omelette
P03,pat(peeler:potato),pat,peeler:potato
P03,pat(pizza),pat,pizza
P03,pat(plug),pat,plug
P03,pat(potato),pat,potato
P03,pat(recipe),pat,recipe
P03,pat(spatula),pat,spatula
P03,pat(spoon),pat,spoon
P03,pat(tap),pat,tap
P03,pat(top),pat,top
P03,peel(bag),peel,bag
P03,peel(clothes),peel,clothes
P03,peel(egg),peel,egg
P03,peel(garlic),peel,garlic
P03,peel(jug),peel,jug
P03,peel(onion),peel,onion
P03,peel(package),peel,package
P03,peel(potato),peel,potato
P03,peel(skin),peel,skin
P03,peel(squash),peel,squash
P03,peel(wrap:plastic),peel,wrap:plastic
P03,pour(aubergine),pour,aubergine
P03,pour(bag),pour,bag
P03,pour(beer),pour,beer
P03,pour(blueberry),pour,blueberry
P03,pour(box),pour,box
P03,pour(bread),pour,bread
P03,pour(burger),pour,burger
P03,pour(clothes),pour,clothes
P03,pour(coffee),pour,coffee
P03,pour(cream),pour,cream
P03,pour(crisp),pour,crisp
P03,pour(curry),pour,curry
P03,pour(dumpling),pour,dumpling
P03,pour(egg),pour,egg
P03,pour(flour),pour,flour
P03,pour(food),pour,food
P03,pour(garlic),pour,garlic
P03,pour(ginger),pour,ginger
P03,pour(lentil),pour,lentil
P03,pour(liquid),pour,liquid
P03,pour(liquid:washing),pour,liquid:washing
P03,pour(milk),pour,milk
P03,pour(mushroom),pour,mushroom
P03,pour(oil),pour,oil
P03,pour(onion),pour,onion
P03,pour(package),pour,package
P03,pour(potato),pour,potato
P03,pour(powder),pour,powder
P03,pour(salt),pour,salt
P03,pour(sauce),pour,sauce
P03,pour(seed),pour,seed
P03,pour(sink),pour,sink
P03,pour(stalk),pour,stalk
P03,pour(tomato),pour,tomato
P03,pour(water),pour,water
P03,pour(yeast),pour,yeast
P03,press(aubergine),press,aubergine
P03,press(bag),press,bag
P03,press(bin),press,bin
P03,press(board:chopping),press,board:chopping
P03,press(bottle),press,bottle
P03,press(bowl),press,bowl
P03,press(box),press,box
P03,press(bread),press,bread
P03,press(burger),press,burger
P03,press(butter),press,butter
P03,press(button),press,button
P03,press(chair),press,chair
P03,press(clip),press,clip
P03,press(cloth),press,cloth
P03,press(colander),press,colander
P03,press(container),press,container
P03,press(cup),press,cup
P03,press(cupboard),press,cupboard
P03,press(dishwasher),press,dishwasher
P03,press(dough),press,dough
P03,press(drawer),press,drawer
P03,press(food),press,food
P03,press(fork),press,fork
P03,press(glass),press,glass
P03,press(hand),press,hand
P03,press(handle),press,handle
P03,press(jug),press,jug
P03,press(kettle),press,kettle
P03,press(knife),press,knife
P03,press(knob),press,knob
P03,press(lid),press,lid
P03,press(liquid:washing),press,liquid:washing
P03,press(maker:coffee),press,maker:coffee
P03,press(mushroom),press,mushroom
P03,press(omelette),press,omelette
P03,press(onion),press,onion
P03,press(orange),press,orange
P03,press(oven),press,oven
P03,press(package),press,package
P03,press(pan),press,pan
P03,press(paper),press,paper
P03,press(peeler:potato),press,peeler:potato
P03,press(pizza),press,pizza
P03,press(plate),press,plate
P03,press(plug),press,plug
P03,press(potato),press,potato
P03,press(rack:drying),press,rack:drying
P03,press(recipe),press,recipe
P03,press(rubbish),press,rubbish
P03,press(scale),press,scale
P03,press(skin),press,skin
P03,press(spatula),press,spatula
P03,press(spoon),press,spoon
P03,press(squash),press,squash
P03,press(tap),press,tap
P03,press(toaster),press,toaster
P03,press(top),press,top
P03,press(towel),press,towel
P03,press(tray),press,tray
P03,press(utensil),press,utensil
P03,press(wall),press,wall
P03,press(wrap:plastic),press,wrap:plastic
P03,pull(apron),pull,apron
P03,pull(bag),pull,bag
P03,pull(basket),pull,basket
P03,pull(board:chopping),pull,board:chopping
P03,pull(bowl),pull,bowl
P03,pull(box),pull,box
P03,pull(butter),pull,butter
P03,pull(can),pull,can
P03,pull(chair),pull,chair
P03,pull(cheese),pull,cheese
P03,pull(cloth),pull,cloth
P03,pull(clothes),pull,clothes
P03,pull(colander),pull,colander
P03,pull(cover),pull,cover
P03,pull(cupboard),pull,cupboard
P03,pull(dishwasher),pull,dishwasher
P03,pull(dough),pull,dough
P03,pull(drawer),pull,drawer
P03,pull(egg),pull,egg
P03,pull(food),pull,food
P03,pull(fridge),pull,fridge
P03,pull(garlic),pull,garlic
P03,pull(glass),pull,glass
P03,pull(hand),pull,hand
P03,pull(handle),pull,handle
P03,pull(kitchen),pull,kitchen
P03,pull(ladle),pull,ladle
P03,pull(lid),pull,lid
P03,pull(maker:coffee),pull,maker:coffee
P03,pull(onion),pull,onion
P03,pull(orange),pull,orange
P03,pull(oven),pull,oven
P03,pull(package),pull,package
P03,pull(pan),pull,pan
P03,pull(pin:rolling),pull,pin:rolling
P03,pull(plate),pull,plate
P03,pull(potato),pull,potato
P03,pull(rack:drying),pull,rack:drying
P03,pull(rubber),pull,rubber
P03,pull(seed),pull,seed
P03,pull(sheets),pull,sheets
P03,pull(skin),pull,skin
P03,pull(spoon),pull,spoon
P03,pull(tap),pull,tap
P03,pull(top),pull,top
P03,pull(towel),pull,towel
P03,pull(tray),pull,tray
P03,pull(vegetable),pull,vegetable
P03,pull(wrap:plastic),pull,wrap:plastic
P03,put(apron),put,apron
P03,put(aubergine),put,aubergine
P03,put(bag),put,bag
P03,put(banana),put,banana
P03,put(bin),put,bin
